idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,21.4,1,0,0,20
2,3,0,0,9.09,2,0,0,20
3,1,0,1,22.31,3,0,0,20
4,3,0,1,15.89,4,0,0,20
5,1,0,2,22.68,5,0,0,20
6,2,0,0,5.05,6,0,0,20
7,1,0,3,12.85,7,0,0,20
8,4,0,0,14.4,8,0,0,20
9,1,0,4,17.29,9,0,0,20
10,3,0,2,16.7,10,0,0,20
11,4,0,1,20.26,11,0,0,20
12,2,0,1,6.87,12,0,0,20
13,5,0,0,20.72,13,0,0,20
14,6,0,0,23.65,14,0,0,20
15,2,0,2,7.52,15,0,0,20
16,4,0,2,20.59,16,0,0,20
17,2,0,3,6.89,17,0,0,20
18,2,0,4,5.43,18,0,0,20
19,3,0,3,12.97,19,0,0,20
20,3,0,4,17.26,20,0,0,20
