idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,1,16.87,0,0,1,20
2,6,0,0,15.81,0,0,0,20
3,6,0,2,19.9,0,0,1,20
4,6,0,3,22.16,1,0,0,20
5,4,0,0,13.46,2,0,0,20
6,6,0,4,23.49,3,0,0,20
7,4,0,1,18.83,4,0,0,20
8,1,0,0,14.52,5,0,0,20
9,3,0,0,11.33,6,0,0,20
10,1,0,1,18.79,7,0,0,20
11,3,0,1,11.48,8,0,0,20
12,3,0,2,11.73,9,0,0,20
13,2,0,0,6.78,10,0,0,20
14,2,0,1,12.65,11,0,0,20
15,1,0,2,9.14,12,0,0,20
16,1,0,3,10.24,13,0,0,20
17,5,0,0,9.13,14,0,0,20
18,4,0,2,19.62,15,0,0,20
19,2,0,2,11.72,16,0,0,20
20,2,0,3,16.15,17,0,0,20
