idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,10.45,1,0,20,0,10.45
2,1,0,1,16.75,2,0,20,0,16.75
3,2,0,0,8.29,3,0,20,0,8.29
4,1,0,2,23.26,4,0,20,0,23.26
5,3,0,0,5.11,5,0,20,0,5.11
6,2,0,1,19.5,6,0,20,0,19.5
7,3,0,1,9.55,7,0,20,0,9.55
8,3,0,2,15.36,8,0,20,0,15.36
9,4,0,0,6.04,9,0,20,0,6.04
10,4,0,1,14.79,10,0,20,0,14.79
11,2,0,2,20.59,11,0,20,0,20.59
12,5,0,0,10.2,12,0,20,0,10.2
13,5,0,1,14.77,13,0,20,0,14.77
14,6,0,0,13.46,14,0,20,0,13.46
15,6,0,1,9.13,15,0,20,0,9.13
16,2,0,3,21.03,16,0,20,0,21.03
17,3,0,3,18.7,17,0,20,0,18.7
18,6,0,2,9.69,18,0,20,0,9.69
19,6,0,3,12.67,19,0,20,0,12.67
20,5,0,2,12.03,20,0,20,0,12.03
