idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,3,19.47,0,0,1,20
2,5,0,4,23.83,0,0,1,20
3,5,0,1,7.1,0,0,1,20
4,5,0,0,5.02,0,0,0,20
5,5,0,2,12.44,0,0,1,20
6,1,0,0,15.5,1,0,0,20
7,1,0,1,18.43,2,0,0,20
8,2,0,0,8.18,3,0,0,20
9,2,0,1,15.79,4,0,0,20
10,6,0,0,16.5,5,0,0,20
11,1,0,2,8.08,6,0,0,20
12,3,0,0,6.34,7,0,0,20
13,1,0,3,10.57,8,0,0,20
14,3,0,1,12.27,9,0,0,20
15,3,0,2,15.17,10,0,0,20
16,3,0,3,17.26,11,0,0,20
17,4,0,0,6.02,12,0,0,20
18,2,0,2,10.42,13,0,0,20
19,4,0,1,7.99,14,0,0,20
20,3,0,4,19.25,15,0,0,20
21,6,0,1,19.91,16,0,0,20
22,1,0,4,19.55,17,0,0,20
23,2,0,3,15.07,18,0,0,20
24,4,0,2,12.39,19,0,0,20
25,2,0,4,16.54,20,0,0,20
26,4,0,3,12.85,21,0,0,20
27,4,0,4,9.9,22,0,0,20
