idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,1,13.43,0,0,1,20
2,4,0,2,18.22,0,0,1,20
3,4,0,3,20.37,0,0,1,20
4,4,0,4,23.36,0,0,1,20
5,4,0,0,8.96,0,0,0,20
6,1,0,0,22.78,1,0,0,20
7,3,0,0,7.84,2,0,0,20
8,3,0,1,10.86,3,0,0,20
9,2,0,0,8.08,4,0,0,20
10,3,0,2,15.18,5,0,0,20
11,5,0,0,12.21,6,0,0,20
12,5,0,1,13.69,7,0,0,20
13,6,0,0,16.96,8,0,0,20
14,5,0,2,22.3,9,0,0,20
15,2,0,1,11.32,10,0,0,20
16,6,0,1,17.51,11,0,0,20
17,2,0,2,11.3,12,0,0,20
18,5,0,3,21.44,13,0,0,20
19,1,0,1,5.38,14,0,0,20
20,1,0,2,9.98,15,0,0,20
21,5,0,4,21.45,16,0,0,20
22,1,0,3,9.08,17,0,0,20
23,6,0,2,20.71,18,0,0,20
24,1,0,4,6.24,19,0,0,20
25,3,0,3,15.55,20,0,0,20
26,2,0,3,12.02,21,0,0,20
27,2,0,4,7.49,22,0,0,20
