idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,7.4,0,0,0,20
2,4,0,0,7.35,0,0,0,20
3,4,0,3,9.94,0,0,1,20
4,4,0,1,10.01,0,0,0,20
5,4,0,2,8.2,0,0,0,20
6,1,0,0,5.5,1,0,0,20
7,2,0,1,18.49,2,0,0,20
8,2,0,2,22.46,3,0,0,20
9,5,0,0,12.11,4,0,0,20
10,1,0,1,7.59,5,0,0,20
11,2,0,3,22.59,6,0,0,20
12,1,0,2,11.01,7,0,0,20
13,3,0,0,5.85,8,0,0,20
14,5,0,1,18.22,9,0,0,20
15,5,0,2,19.14,10,0,0,20
16,1,0,3,7.69,11,0,0,20
17,2,0,4,23.69,12,0,0,20
18,1,0,4,12.28,13,0,0,20
19,3,0,1,9.75,14,0,0,20
20,4,0,4,13.14,15,0,0,20
21,6,0,0,16.08,16,0,0,20
22,6,0,1,18.94,17,0,0,20
23,5,0,3,21.06,18,0,0,20
24,5,0,4,21.87,19,0,0,20
25,3,0,2,5.71,20,0,0,20
26,6,0,2,17.91,21,0,0,20
27,3,0,3,11.72,22,0,0,20
