idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,13.97,0,0,0,20
2,5,0,0,20.79,0,0,0,20
3,5,0,3,22.9,0,0,1,20
4,1,0,1,14.01,0,0,2,20
5,5,0,1,22.82,0,0,0,20
6,5,0,2,21.11,0,0,0,20
7,2,0,0,10.05,0,0,1,20
8,3,0,0,6.15,1,0,0,20
9,1,0,2,14.27,2,0,0,20
10,2,0,1,20.32,3,0,0,20
11,2,0,2,22.93,4,0,0,20
12,1,0,3,22.24,5,0,0,20
13,3,0,1,16.52,6,0,0,20
14,4,0,0,13.66,7,0,0,20
15,6,0,0,8.47,8,0,0,20
16,3,0,2,18.83,9,0,0,20
17,4,0,1,14.97,10,0,0,20
18,6,0,1,7.43,11,0,0,20
19,6,0,2,12.27,12,0,0,20
20,3,0,3,19.42,13,0,0,20
21,4,0,2,17.25,14,0,0,20
22,3,0,4,21.45,15,0,0,20
23,6,0,3,13.99,16,0,0,20
24,6,0,4,15.87,17,0,0,20
25,4,0,3,11.04,18,0,0,20
