idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,0,5.71,0,0,0,20
2,4,0,0,18.31,0,0,0,20
3,1,0,2,12.03,0,0,1,20
4,2,0,0,6.66,0,0,0,20
5,4,0,1,17.72,0,0,0,20
6,4,0,2,18.01,0,0,0,20
7,4,0,4,22.62,0,0,1,20
8,6,0,2,7.41,0,0,1,20
9,6,0,1,7.14,0,0,2,20
10,2,0,1,5.11,0,0,0,20
11,1,0,3,13.98,0,0,1,20
12,1,0,0,5.85,0,0,1,20
13,4,0,3,21.09,0,0,0,20
14,1,0,1,8.03,0,0,1,20
15,1,0,4,22.77,0,0,1,20
16,5,0,0,10.24,1,0,0,20
17,5,0,1,21.65,2,0,0,20
18,6,0,3,20.11,3,0,0,20
19,2,0,2,17.37,4,0,0,20
20,3,0,0,7.75,5,0,0,20
21,3,0,1,9.57,6,0,0,20
22,5,0,2,22.94,7,0,0,20
23,5,0,3,23.68,8,0,0,20
24,3,0,2,7.39,9,0,0,20
25,2,0,3,19.4,10,0,0,20
