idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,3,13.32,0,0,1,20
2,3,0,1,6.37,0,0,1,20
3,3,0,0,5.44,0,0,0,20
4,3,0,2,10.59,0,0,1,20
5,3,0,4,21.89,0,0,1,20
6,1,0,0,20.32,1,0,0,20
7,1,0,1,24.0,2,0,0,20
8,2,0,0,12.25,3,0,0,20
9,4,0,0,12.2,4,0,0,20
10,5,0,0,5.69,5,0,0,20
11,2,0,1,23.77,6,0,0,20
12,4,0,1,16.08,7,0,0,20
13,5,0,1,7.67,8,0,0,20
14,4,0,2,23.12,9,0,0,20
15,5,0,2,17.55,10,0,0,20
16,6,0,0,13.66,11,0,0,20
17,6,0,1,9.91,12,0,0,20
18,6,0,2,6.79,13,0,0,20
19,6,0,3,6.17,14,0,0,20
20,5,0,3,20.52,15,0,0,20
21,6,0,4,16.12,16,0,0,20
22,5,0,4,6.3,17,0,0,20
23,4,0,3,15.46,18,0,0,20
24,4,0,4,13.93,19,0,0,20
25,2,0,2,22.98,20,0,0,20
26,2,0,3,6.95,21,0,0,20
27,2,0,4,22.3,22,0,0,20
