idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,3,23.04,0,0,1,20
2,2,0,0,17.45,0,0,0,20
3,6,0,1,19.18,0,0,1,20
4,6,0,0,5.54,0,0,0,20
5,6,0,2,22.77,0,0,1,20
6,1,0,0,6.45,1,0,0,20
7,1,0,1,16.07,2,0,0,20
8,3,0,0,11.06,3,0,0,20
9,4,0,0,6.74,4,0,0,20
10,4,0,1,7.36,5,0,0,20
11,3,0,1,12.52,6,0,0,20
12,3,0,2,14.88,7,0,0,20
13,3,0,3,15.56,8,0,0,20
14,2,0,1,21.02,9,0,0,20
15,1,0,2,17.17,10,0,0,20
16,1,0,3,17.82,11,0,0,20
17,4,0,2,20.68,12,0,0,20
18,5,0,0,13.21,13,0,0,20
19,2,0,2,21.19,14,0,0,20
20,5,0,1,15.16,15,0,0,20
21,5,0,2,6.57,16,0,0,20
22,2,0,3,22.82,17,0,0,20
23,6,0,4,23.65,18,0,0,20
24,2,0,4,22.83,19,0,0,20
25,1,0,4,18.58,20,0,0,20
26,3,0,4,20.35,21,0,0,20
27,5,0,3,11.26,22,0,0,20
