idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,4,0,1,19.91,0,1,20,0,19.91
2,2,0,0,16.14,0,0,20,0,16.14
3,4,0,0,7.54,0,1,20,0,7.54
4,4,0,3,21.92,0,1,20,0,21.92
5,3,0,0,21.42,0,0,20,0,21.42
6,3,0,1,19.29,0,0,20,0,19.29
7,3,0,2,19.41,0,0,20,0,19.41
8,4,0,2,21.03,0,1,20,0,21.03
9,3,0,3,5.92,0,0,20,0,5.92
10,3,0,4,6.98,0,0,20,0,6.98
11,1,0,0,5.5,1,0,20,0,5.5
12,2,0,1,17.09,2,0,20,0,17.09
13,1,0,1,9.96,3,0,20,0,9.96
14,1,0,2,13.39,4,0,20,0,13.39
15,5,0,0,11.09,5,0,20,0,11.09
16,2,0,2,18.28,6,0,20,0,18.28
17,6,0,0,8.4,7,0,20,0,8.4
18,6,0,1,10.43,8,0,20,0,10.43
19,2,0,3,18.58,9,0,20,0,18.58
20,2,0,4,19.95,10,0,20,0,19.95
21,1,0,3,19.07,11,0,20,0,19.07
22,5,0,1,14.88,12,0,20,0,14.88
23,6,0,2,11.51,13,0,20,0,11.51
