idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,6.27,1,0,20,0,6.27
2,1,0,1,22.13,2,0,20,0,22.13
3,2,0,0,20.92,3,0,20,0,20.92
4,3,0,0,13.52,4,0,20,0,13.52
5,3,0,1,15.88,5,0,20,0,15.88
6,4,0,0,12.89,6,0,20,0,12.89
7,3,0,2,18.84,7,0,20,0,18.84
8,5,0,0,6.73,8,0,20,0,6.73
9,4,0,1,17.15,9,0,20,0,17.15
10,5,0,1,15.11,10,0,20,0,15.11
11,1,0,2,22.33,11,0,20,0,22.33
12,6,0,0,12.01,12,0,20,0,12.01
13,6,0,1,13.54,13,0,20,0,13.54
14,6,0,2,11.08,14,0,20,0,11.08
15,6,0,3,13.3,15,0,20,0,13.3
16,5,0,2,15.3,16,0,20,0,15.3
17,6,0,4,11.5,17,0,20,0,11.5
18,5,0,3,13.33,18,0,20,0,13.33
19,5,0,4,11.91,19,0,20,0,11.91
20,4,0,2,15.51,20,0,20,0,15.51
