idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,11.1,1,0,0,20
2,3,0,0,9.21,2,0,0,20
3,3,0,1,11.39,3,0,0,20
4,6,0,0,16.61,4,0,0,20
5,6,0,1,20.3,5,0,0,20
6,1,0,0,10.83,6,0,0,20
7,3,0,2,19.08,7,0,0,20
8,4,0,1,15.38,8,0,0,20
9,4,0,2,15.84,9,0,0,20
10,2,0,0,8.85,10,0,0,20
11,2,0,1,9.85,11,0,0,20
12,3,0,3,13.87,12,0,0,20
13,1,0,1,6.91,13,0,0,20
14,5,0,0,6.25,14,0,0,20
15,2,0,2,12.91,15,0,0,20
16,4,0,3,19.35,16,0,0,20
17,3,0,4,16.96,17,0,0,20
18,2,0,3,13.49,18,0,0,20
19,1,0,2,12.22,19,0,0,20
20,2,0,4,17.33,20,0,0,20
21,1,0,3,8.51,21,0,0,20
22,1,0,4,11.93,22,0,0,20
23,5,0,1,6.95,23,0,0,20
24,5,0,2,8.32,24,0,0,20
25,5,0,3,12.11,25,0,0,20
