idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,14.93,1,0,0,20
2,2,0,0,5.92,2,0,0,20
3,2,0,1,6.97,3,0,0,20
4,2,0,2,13.56,4,0,0,20
5,1,0,1,23.11,5,0,0,20
6,2,0,3,14.41,6,0,0,20
7,3,0,0,5.51,7,0,0,20
8,3,0,1,21.97,8,0,0,20
9,4,0,0,12.06,9,0,0,20
10,3,0,2,21.99,10,0,0,20
11,2,0,4,16.97,11,0,0,20
12,5,0,0,5.02,12,0,0,20
13,5,0,1,8.98,13,0,0,20
14,4,0,1,13.46,14,0,0,20
15,5,0,2,9.71,15,0,0,20
16,5,0,3,11.01,16,0,0,20
17,6,0,0,8.2,17,0,0,20
18,1,0,2,23.75,18,0,0,20
19,4,0,2,16.49,19,0,0,20
20,5,0,4,15.06,20,0,0,20
21,6,0,1,12.03,21,0,0,20
22,1,0,3,23.83,22,0,0,20
23,6,0,2,11.95,23,0,0,20
24,6,0,3,9.38,24,0,0,20
25,6,0,4,9.24,25,0,0,20
26,4,0,3,14.19,26,0,0,20
27,4,0,4,15.75,27,0,0,20
