idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,2,16.04,0,1,20,0,16.04
2,6,0,3,16.92,0,1,20,0,16.92
3,4,0,0,17.16,0,0,20,0,17.16
4,6,0,0,9.28,0,0,20,0,9.28
5,4,0,2,22.44,0,1,20,0,22.44
6,4,0,1,17.06,0,0,20,0,17.06
7,6,0,1,9.55,0,1,20,0,9.55
8,1,0,0,13.02,1,0,20,0,13.02
9,1,0,1,16.61,2,0,20,0,16.61
10,2,0,0,14.3,3,0,20,0,14.3
11,1,0,2,21.88,4,0,20,0,21.88
12,2,0,1,22.47,5,0,20,0,22.47
13,3,0,0,13.58,6,0,20,0,13.58
14,2,0,2,22.49,7,0,20,0,22.49
15,5,0,0,11.53,8,0,20,0,11.53
16,3,0,1,19.55,9,0,20,0,19.55
17,5,0,1,16.52,10,0,20,0,16.52
18,5,0,2,13.38,11,0,20,0,13.38
19,4,0,3,22.47,12,0,20,0,22.47
20,5,0,3,14.82,13,0,20,0,14.82
21,5,0,4,10.32,14,0,20,0,10.32
22,6,0,4,7.16,15,0,20,0,7.16
23,3,0,2,10.64,16,0,20,0,10.64
