idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,4,0,4,23.52,0,1,20,0,23.52
2,3,0,0,5.14,0,0,20,0,5.14
3,4,0,2,11.47,0,1,20,0,11.47
4,4,0,3,14.98,0,1,20,0,14.98
5,4,0,0,5.29,0,0,20,0,5.29
6,4,0,1,8.04,0,1,20,0,8.04
7,3,0,1,23.79,0,1,20,0,23.79
8,1,0,0,6.75,1,0,20,0,6.75
9,1,0,1,19.21,2,0,20,0,19.21
10,3,0,2,23.87,3,0,20,0,23.87
11,2,0,0,16.08,4,0,20,0,16.08
12,2,0,1,18.06,5,0,20,0,18.06
13,2,0,2,18.15,6,0,20,0,18.15
14,1,0,2,22.52,7,0,20,0,22.52
15,2,0,3,21.99,8,0,20,0,21.99
16,5,0,0,10.04,9,0,20,0,10.04
17,5,0,1,10.12,10,0,20,0,10.12
18,5,0,2,11.21,11,0,20,0,11.21
19,5,0,3,20.03,12,0,20,0,20.03
20,6,0,0,16.31,13,0,20,0,16.31
21,5,0,4,21.76,14,0,20,0,21.76
22,6,0,1,14.67,15,0,20,0,14.67
23,2,0,4,22.35,16,0,20,0,22.35
